Date,Cases,Mean Temp (°C),Humidity,DoW
2015-04-07, 12,2.8,40,3
2015-04-08, 8,1.5,39,4
2015-04-09, 11,2.5,85,5
2015-04-10, 11,8.0,97,6
2015-04-11, 4,6.0,53	,0
2015-04-12, 12,8.3,83,1
2015-04-13, 11,12.5,50	,2
2015-04-14, 12,9.8,88	,3
2015-04-15, 5,8.8,31	,4
2015-04-16, 16,9.0,29	,5
2015-04-17, 13,13.5,93,6
2015-04-18, 9,10.5,87,0
2015-04-19, 7,7.8,47,1
2015-04-20, 12,10.3,82,2
2015-04-21, 14,9.3,60,3
2015-04-22, 10,5.8,61,4
2015-04-23, 12,2.5,70,5
2015-04-24, 15,2.8,46,6
2015-04-25, 12,5.3,71,0
2015-04-26, 3,7.3,60,1
2015-04-27, 10,8.0,60,2
2015-04-28, 12,13.3,63,3
2015-04-29, 8,15.8,77,4
2015-04-30, 5,12.8,45,5
2015-05-01, 6,13.8,43,6
2015-05-02, 5,15.0,78,0
2015-05-03, 7,15.8,72,1
2015-05-04, 13,17.0,54,2
2015-05-05, 8,14.5,49,3
2015-05-06, 5,15.0,44,4
2015-05-07, 7,16.8,80,5
2015-05-08, 8,19.3,63,6
2015-05-09, 8,19.3,80,0
2015-05-10, 16,20.5,86,1
2015-05-11, 9,15.5,81,2
2015-05-12, 6,16.5,56,3
2015-05-13, 4,11.5,39,4
2015-05-14, 8,10.0,67,5
2015-05-15, 4,12.0,43,6
2015-05-16, 6,17.8,94,0
2015-05-17, 9,17.0,81,1
2015-05-18, 2,19.0,88,2
2015-05-19, 7,18.8,61,3
2015-05-20, 8,10.5,42,4
2015-05-21, 10,12.3,67,5
2015-05-22, 4,9.5,43,6
2015-05-23, 6,7.0,60,0
2015-05-24, 6,17.0,48,1
2015-05-25, 14,19.3,75,2
2015-05-26, 7,22.0,77,3
2015-05-27, 6,23.0,78,4
2015-05-28, 7,19.5,61,5
2015-05-29, 9,17.8,66,6
2015-05-30, 9,23.0,76,0
2015-05-31, 5,8.8,87,1
2015-06-01, 15,11.0,88,2
2015-06-02, 5,14.0,65,3
2015-06-03, 9,13.5,59,4
2015-06-04, 12,16.3,61,5
2015-06-05, 6,18.5,85,6
2015-06-06, 4,14.0,44,0
2015-06-07, 8,13.5,57,1
2015-06-08, 6,19.0,94	,2
